iter	Passed	Remaining
0	146	43751
1	149	22286
2	152	15141
3	156	11575
4	159	9429
5	163	7997
6	166	6970
7	169	6196
8	173	5612
9	177	5133
10	180	4739
11	183	4394
12	186	4120
13	190	3887
14	193	3685
15	196	3494
16	200	3333
17	203	3183
18	206	3057
19	209	2935
20	213	2830
21	216	2730
22	219	2646
23	222	2562
24	226	2490
25	229	2419
26	233	2365
27	236	2301
28	239	2242
29	242	2185
30	245	2134
31	249	2085
32	252	2041
33	255	1997
34	258	1956
35	261	1918
36	264	1880
37	267	1845
38	270	1811
39	273	1780
40	276	1749
41	280	1723
42	283	1695
43	286	1668
44	289	1642
45	293	1617
46	296	1593
47	299	1569
48	301	1546
49	304	1523
50	307	1502
51	310	1481
52	313	1461
53	316	1442
54	319	1424
55	322	1406
56	325	1388
57	330	1379
58	333	1363
59	336	1347
60	340	1333
61	343	1318
62	346	1303
63	349	1289
64	353	1278
65	356	1264
66	360	1251
67	363	1238
68	365	1223
69	368	1210
70	371	1198
71	374	1186
72	377	1174
73	381	1163
74	384	1152
75	387	1141
76	390	1130
77	393	1120
78	396	1109
79	399	1099
80	402	1089
81	405	1079
82	409	1069
83	412	1060
84	415	1050
85	418	1041
86	421	1032
87	426	1028
88	430	1019
89	433	1011
90	436	1002
91	439	993
92	442	985
93	445	976
94	448	968
95	451	960
96	454	951
97	457	943
98	460	934
99	463	926
100	466	918
101	469	911
102	472	904
103	475	896
104	479	889
105	482	882
106	485	876
107	488	869
108	492	862
109	495	855
110	498	848
111	501	841
112	504	834
113	507	828
114	510	821
115	513	814
116	516	807
117	519	801
118	523	795
119	525	788
120	528	781
121	531	775
122	534	769
123	537	763
124	541	757
125	544	751
126	547	745
127	550	739
128	553	733
129	556	727
130	559	722
131	562	716
132	565	710
133	568	704
134	572	699
135	575	693
136	578	687
137	581	682
138	584	676
139	587	671
140	590	665
141	593	659
142	596	654
143	599	648
144	601	643
145	605	638
146	608	632
147	611	627
148	614	622
149	617	617
150	620	611
151	623	607
152	626	601
153	629	596
154	632	591
155	635	586
156	638	581
157	641	576
158	645	572
159	647	566
160	650	561
161	653	557
162	656	552
163	659	547
164	662	542
165	665	537
166	668	532
167	671	527
168	674	522
169	677	518
170	680	513
171	683	508
172	686	503
173	689	499
174	691	494
175	694	489
176	697	485
177	701	480
178	704	476
179	707	471
180	710	467
181	713	462
182	716	458
183	719	453
184	722	449
185	725	444
186	728	440
187	732	436
188	734	431
189	737	427
190	740	422
191	743	418
192	746	413
193	749	409
194	752	405
195	755	400
196	758	396
197	761	392
198	764	388
199	767	383
200	770	379
201	774	375
202	777	371
203	780	367
204	783	363
205	786	359
206	789	354
207	792	350
208	796	346
209	799	342
210	802	338
211	805	334
212	808	330
213	811	326
214	814	321
215	817	317
216	820	313
217	823	309
218	826	305
219	829	301
220	832	297
221	835	293
222	838	289
223	842	285
224	845	281
225	848	277
226	851	273
227	854	269
228	857	265
229	860	261
230	863	257
231	866	253
232	869	249
233	872	246
234	875	242
235	879	238
236	881	234
237	885	230
238	888	226
239	891	222
240	894	219
241	897	215
242	900	211
243	903	207
244	906	203
245	910	199
246	914	196
247	917	192
248	920	188
249	923	184
250	926	180
251	929	176
252	932	173
253	935	169
254	938	165
255	942	161
256	945	158
257	948	154
258	951	150
259	954	146
260	957	143
261	960	139
262	964	135
263	966	131
264	970	128
265	973	124
266	976	120
267	979	117
268	983	113
269	985	109
270	989	105
271	992	102
272	995	98
273	998	94
274	1000	90
275	1004	87
276	1007	83
277	1010	79
278	1013	76
279	1017	72
280	1020	68
281	1024	65
282	1027	61
283	1030	58
284	1033	54
285	1037	50
286	1040	47
287	1043	43
288	1046	39
289	1049	36
290	1052	32
291	1055	28
292	1058	25
293	1061	21
294	1064	18
295	1067	14
296	1071	10
297	1073	7
298	1076	3
299	1080	0
